S.NO.,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY
664,2015-16,PONDICHERRY,PONDICHERRY,946600,28.73,1031,86.13,80.4,92.07
665,2015-16,PONDICHERRY,MAHE,41934,13.86,1176,98.35,97.61,99.24
666,2015-16,PONDICHERRY,KARAIKAL,200314,17.29,1048,87.83,82.61,93.36
667,2015-16,ANDAMAN AND NICOBAR ISLANDS,ANDAMANS,237586,13.97,874,88.49,84.52,91.91
668,2015-16,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,36819,-12.48,778,77.5,70.7,82.65
669,2015-16,ANDAMAN AND NICOBAR ISLANDS,MIDDLE AND NORTH ANDAMANS,105539,-0.07,925,84.25,79.39,88.72
670,2015-16,TELANGANA,ADILABAD,2737738,10.04,1003,61.55,51.99,71.22
671,2015-16,TELANGANA,NIZAMABAD,2552073,8.8,1038,62.25,52.33,72.66
672,2015-16,TELANGANA,KARIMNAGAR,3811738,9.16,1009,64.87,55.18,74.72
673,2015-16,TELANGANA,MEDAK,3031877,13.55,989,62.53,52.49,72.5
674,2015-16,TELANGANA,HYDERABAD,4010238,4.71,943,80.96,78.42,83.35
675,2015-16,TELANGANA,RANGA REDDY,5296396,48.15,955,78.05,71.82,84
676,2015-16,TELANGANA,MAHBUBNAGAR,4042191,15.03,975,56.06,45.65,66.27
677,2015-16,TELANGANA,NALGONDA,3483648,7.26,982,65.05,55.05,74.94
678,2015-16,TELANGANA,WARANGAL,3522644,8.52,994,66.16,56.45,75.91
679,2015-16,TELANGANA,KHAMMAM,2798214,8.5,1010,65.46,57.85,73.2
